Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
MUC1	gene	MUC1	Expert;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Medullary cystic kidney disease 1	174000"				23396133;24670410;27157321;25738250		False	3	100;0;0	1.120	False		ENSG00000185499	ENSG00000185499	HGNC:7508													
MYH9	gene	MYH9	Eligibility statement prior genetic testing;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Epstein syndrome 153650;Fechtner syndrome 153640						False	3	0;0;0	1.120	False		ENSG00000100345	ENSG00000100345	HGNC:7579													
MYO1E	gene	MYO1E	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Glomerulosclerosis, focal segmental, 6 614131				23595123		False	3	0;0;0	1.120	False		ENSG00000157483	ENSG00000157483	HGNC:7599													
NPHP1	gene	NPHP1	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Joubert syndrome 4	609583;Nephronophthisis 1, juvenile	256100;Senior-Loken syndrome-1	266900"						False	3	100;0;0	1.120	False		ENSG00000144061	ENSG00000144061	HGNC:7905													
NPHP3	gene	NPHP3	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 3, 604387;Renal-hepatic-pancreatic dysplasia 1, 208540;Meckel syndrome 7, 267010						False	3	0;0;0	1.120	False		ENSG00000113971	ENSG00000113971	HGNC:7907													
NPHP4	gene	NPHP4	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 4 606966;Senior-Loken syndrome 4 606996						False	3	0;0;0	1.120	False		ENSG00000131697	ENSG00000131697	HGNC:19104													
NPHS1	gene	NPHS1	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 1 256300						False	3	0;0;0	1.120	False		ENSG00000161270	ENSG00000161270	HGNC:7908													
NPHS2	gene	NPHS2	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 2 600995						False	3	0;0;0	1.120	False		ENSG00000116218	ENSG00000116218	HGNC:13394													
NUP107	gene	NUP107	Expert Review Green;Literature	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 11 616730				26411495		False	3	100;0;0	1.120	False		ENSG00000111581	ENSG00000111581	HGNC:29914													
NUP93	gene	NUP93	Expert Review Green;Literature	Unexplained kidney failure in young people	Disorders of function	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 12 616892				26878725		False	3	0;0;0	1.120	False		ENSG00000102900	ENSG00000102900	HGNC:28958													
