Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
PRDM15	gene	PRDM15	Expert Review Green;Literature;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	steroid-resistant nephrotic syndrome, MONDO:0044765				31950080;33593823		False	3	50;50;0	5.2	False		ENSG00000141956	ENSG00000141956	HGNC:13999													
SCARB2	gene	SCARB2	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Action myoclonus renal failure syndrome;Epilepsy, progressive myoclonic 4, with or without renal failure #254900				22032306		False	3	100;0;0	5.2	True		ENSG00000138760	ENSG00000138760	HGNC:1665													
SGPL1	gene	SGPL1	Expert Review Green;Literature;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	"Nephrotic syndrome 14	617575"				28181337; 28165339; 28165343		False	3	100;0;0	5.2	False		ENSG00000166224	ENSG00000166224	HGNC:10817													
SMARCAL1	gene	SMARCAL1	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Schimke immunoosseous dysplasia, OMIM:242900				11799392;24589093		False	3	100;0;0	5.2	True		ENSG00000138375	ENSG00000138375	HGNC:11102													
TBC1D8B	gene	TBC1D8B	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Nephrotic syndrome, type 20, OMIM:301028				30661770		False	3	100;0;0	5.2	False		ENSG00000133138	ENSG00000133138	HGNC:24715													
TNS2	gene	TNS2	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	nephrotic syndrome				29773874		False	3	100;0;0	5.2	False		ENSG00000111077	ENSG00000111077	HGNC:19737													
TP53RK	gene	TP53RK	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Galloway-Mowat syndrome 4 #617730				28805828		False	3	100;0;0	5.2	False		ENSG00000172315	ENSG00000172315	HGNC:16197													
TPRKB	gene	TPRKB	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Galloway-Mowat syndrome 5, OMIM:617731				28805828;30053862		False	3	50;50;0	5.2	False		ENSG00000144034	ENSG00000144034	HGNC:24259													
TRIM8	gene	TRIM8	Expert Review Green;Literature	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	nephrotic syndrome;epilepsy;Focal segmental glomerulosclerosis and neurodevelopmental syndrome, OMIM:619428				33508234;32531461;32193649;33508234		False	3	100;0;0	5.2	False	Other	ENSG00000171206	ENSG00000171206	HGNC:15579													
TRPC6	gene	TRPC6	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Glomerulosclerosis, focal segmental, 2 #603652;Proteinuria;FSGS;kidney failure;Familial and sporadic SRNS (adult)				15879175		False	3	100;0;0	5.2	True		ENSG00000137672	ENSG00000137672	HGNC:12338													
WDR73	gene	WDR73	Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Galloway-Mowat syndrome 1 #251300				26123727;25466283		False	3	100;0;0	5.2	False		ENSG00000177082	ENSG00000177082	HGNC:25928													
WT1	gene	WT1	Eligibility statement prior genetic testing;Expert Review Green;NHS GMS	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Denys-Drash syndrome #194080;Frasier syndrome #136680;Wilms tumor, type 1 #194070				24402088		False	3	100;0;0	5.2	True		ENSG00000184937	ENSG00000184937	HGNC:12796													
YRDC	gene	YRDC	Expert Review Green;Literature	Proteinuric renal disease	Syndromes with prominent renal abnormalities	Renal and urinary tract disorders	BIALLELIC, autosomal or pseudoautosomal	Galloway-Mowat syndrome MONDO:0009627				31481669		False	3	50;50;0	5.2	False		ENSG00000196449	ENSG00000196449	HGNC:28905													
